50
(1, 3)
L (12, 1) 0
L (18, 6) 0
L (21, 12) 0
L (35, 18) 0
L (23, 6) 0
L (27, 46) 0
L (2, 14) 0
L (2, 23) 0
L (2, 19) 0
L (31, 27) 0
L (6, 0) 0
L (48, 8) 0
L (49, 13) 0
L (19, 30) 0
L (25, 21) 0
L (5, 25) 0
L (5, 9) 0
L (36, 14) 0
L (21, 1) 0
L (2, 22) 0
L (6, 5) 0
L (3, 8) 0
L (43, 28) 0
L (42, 4) 0
L (22, 27) 0
L (15, 46) 0
L (13, 36) 0
L (21, 0) 0
L (48, 29) 0
L (44, 44) 0
L (8, 26) 0
L (4, 29) 0
L (42, 17) 0
L (2, 20) 0
L (49, 25) 0
L (49, 15) 0
L (27, 43) 0
L (35, 31) 0
L (30, 47) 0
L (46, 29) 0
L (13, 10) 0
L (46, 12) 0
L (9, 13) 0
L (16, 46) 0
L (10, 36) 0
L (15, 47) 0
L (29, 7) 0
L (31, 31) 0
L (33, 2) 0
L (10, 48) 0
L (16, 11) 0
L (18, 47) 0
L (1, 7) 0
L (15, 2) 0
L (46, 34) 0
L (5, 36) 0
L (38, 16) 0
L (48, 15) 0
L (37, 19) 0
L (36, 35) 0
L (2, 37) 0
L (43, 35) 0
L (27, 5) 0
L (37, 34) 0
L (14, 21) 0
L (34, 48) 0
L (13, 2) 0
L (20, 7) 0
L (46, 15) 0
L (4, 14) 0
L (5, 8) 0
L (30, 5) 0
L (12, 16) 0
L (22, 48) 0
L (18, 3) 0
L (11, 25) 0
L (17, 47) 0
L (42, 42) 0
L (39, 18) 0
L (35, 25) 0
L (18, 11) 0
L (0, 39) 0
L (35, 20) 0
L (45, 11) 0
L (44, 8) 0
L (39, 11) 0
L (41, 20) 0
L (11, 20) 0
L (0, 13) 0
L (46, 2) 0
L (1, 23) 0
L (12, 41) 0
L (41, 24) 0
L (31, 0) 0
L (26, 49) 0
L (33, 47) 0
L (43, 2) 0
L (22, 43) 0
L (28, 22) 0
L (37, 5) 0
L (0, 32) 0
L (26, 37) 0
L (49, 42) 0
L (13, 35) 0
L (26, 13) 0
L (10, 15) 0
L (46, 24) 0
L (6, 44) 0
L (27, 3) 0
L (27, 6) 0
L (39, 38) 0
L (17, 4) 0
L (21, 3) 0
L (10, 13) 0
L (33, 11) 0
L (17, 12) 0
L (48, 23) 0
L (15, 4) 0
L (32, 1) 0
L (3, 38) 0
L (0, 11) 0
L (47, 29) 0
L (16, 15) 0
L (39, 47) 0
L (23, 35) 0
L (44, 38) 0
L (36, 21) 0
L (2, 35) 0
L (43, 7) 0
L (21, 47) 0
L (15, 13) 0
L (18, 21) 0
L (43, 25) 0
L (21, 8) 0
L (29, 9) 0
L (24, 15) 0
L (44, 13) 0
L (19, 4) 0
L (12, 0) 0
L (37, 43) 0
L (29, 30) 0
L (21, 4) 0
L (8, 29) 0
L (45, 40) 0
L (1, 4) 0
L (3, 27) 0
L (17, 44) 0
L (0, 19) 0
L (47, 44) 0
L (47, 13) 0
L (15, 33) 0
L (39, 27) 0
L (16, 45) 0
L (8, 7) 0
L (47, 31) 0
L (42, 24) 0
L (24, 33) 0
L (17, 35) 0
L (33, 8) 0
L (15, 16) 0
L (20, 40) 0
L (45, 12) 0
L (14, 5) 0
L (44, 39) 0
L (47, 36) 0
L (16, 19) 0
L (28, 37) 0
L (19, 21) 0
L (32, 20) 0
L (21, 14) 0
L (31, 18) 0
L (34, 21) 0
L (8, 0) 0
L (43, 8) 0
L (4, 11) 0
L (29, 4) 0
L (43, 9) 0
L (4, 23) 0
L (25, 45) 0
L (16, 24) 0
L (19, 29) 0
L (44, 30) 0
L (46, 6) 0
L (37, 4) 0
L (22, 21) 0
L (19, 7) 0
L (26, 19) 0
L (47, 22) 0
L (23, 39) 0
L (12, 24) 0
L (10, 30) 0
L (40, 38) 0
L (40, 34) 0
L (9, 10) 0
L (46, 26) 0
L (11, 17) 0
L (27, 20) 0
L (1, 0) 0
L (10, 35) 0
L (38, 33) 0
L (22, 34) 0
L (15, 17) 0
L (15, 39) 0
L (6, 1) 0
L (6, 8) 0
L (6, 45) 0
L (22, 33) 0
L (43, 41) 0
L (49, 36) 0
L (6, 14) 0
L (25, 24) 0
L (1, 12) 0
L (16, 14) 0
L (16, 48) 0
L (36, 25) 0
L (19, 38) 0
L (36, 2) 0
L (11, 27) 0
L (7, 36) 0
L (7, 12) 0
L (25, 40) 0
L (15, 10) 0
L (13, 40) 0
L (40, 29) 0
L (9, 42) 0
L (16, 38) 0
L (40, 36) 0
L (42, 41) 0
