50
(48, 1)
L (0, 2) 2
L (0, 3) 2
L (0, 5) 2
L (0, 4) 7
L (0, 7) 2
B (1, 7) 1 0
S (2, 7) 1
L (0, 6) 2
B (1, 6) 2 0
B (1, 5) 3 0
S (3, 5) 2
B (1, 4) 4 0
B (1, 3) 5 0
S (4, 3) 3
B (1, 2) 0 0
L (0, 1) 2
S (6, 2) 5
S (3, 2) 2
S (5, 2) 4
S (4, 2) 3
S (4, 4) 3
S (3, 4) 2
S (3, 3) 2
S (2, 6) 1
S (3, 6) 2
S (2, 5) 1
S (4, 5) 3
S (5, 3) 4
S (2, 4) 1
S (2, 3) 1
S (2, 2) 1
S (5, 4) 4
S (6, 3) 5
S (7, 2) 0
L (48, 0) 7
L (47, 1) 0
L (49, 43) 2
L (2, 44) 1
L (49, 10) 1
L (48, 12) 1
L (48, 11) 0
L (4, 13) 1
L (5, 9) 1
