50
(44, 47)
L (30, 34) 0
L (7, 4) 0
L (26, 29) 0
L (23, 23) 0
L (41, 29) 0
L (0, 40) 0
L (31, 45) 0
L (12, 37) 0
L (8, 12) 0
L (15, 47) 0
L (7, 48) 0
L (14, 24) 0
L (17, 32) 0
L (4, 8) 0
L (17, 14) 0
L (42, 44) 0
L (4, 41) 0
L (8, 29) 0
L (38, 18) 0
L (30, 31) 0
L (21, 48) 0
L (36, 19) 0
L (0, 44) 0
L (36, 4) 0
L (27, 41) 0
L (9, 12) 0
L (37, 45) 0
L (40, 27) 0
L (30, 8) 0
L (32, 25) 0
L (30, 44) 0
L (42, 3) 0
L (47, 28) 0
L (19, 20) 0
L (36, 7) 0
L (15, 19) 0
L (46, 5) 0
L (18, 12) 0
L (27, 14) 0
L (27, 15) 0
L (22, 19) 0
L (18, 24) 0
L (22, 42) 0
L (26, 14) 0
L (47, 13) 0
L (5, 15) 0
L (37, 33) 0
L (39, 37) 0
L (22, 44) 0
L (10, 17) 0
L (27, 27) 0
L (47, 4) 0
L (10, 45) 0
L (31, 5) 0
L (20, 42) 0
L (14, 15) 0
L (17, 31) 0
L (20, 10) 0
L (48, 42) 0
L (2, 13) 0
L (22, 37) 0
L (49, 7) 0
L (8, 10) 0
L (45, 5) 0
L (32, 4) 0
L (11, 31) 0
L (2, 16) 0
L (15, 31) 0
L (7, 39) 0
L (0, 14) 0
L (6, 20) 0
L (30, 41) 0
L (14, 19) 0
L (2, 12) 0
L (49, 38) 0
L (34, 41) 0
L (38, 42) 0
L (12, 20) 0
L (11, 3) 0
L (42, 19) 0
L (11, 21) 0
L (33, 8) 0
L (32, 39) 0
L (27, 7) 0
L (32, 47) 0
L (33, 15) 0
L (5, 27) 0
L (2, 44) 0
L (27, 31) 0
L (7, 17) 0
L (0, 41) 0
L (13, 21) 0
L (5, 17) 0
L (0, 6) 0
L (47, 35) 0
L (13, 48) 0
L (22, 0) 0
L (3, 31) 0
L (7, 37) 0
L (27, 44) 0
